id,name,description,price,stock
308704,"PALiT GeForce RTX 3060 Dual, LHR, 12GB GDDR6","Výkonná herní grafická karta v podání PALiT, rozhraní PCIe 4.0, architektura Ampere, frekvence až 1777 MHz, 12 GB GDDR6 paměti, rychlost paměti 15 Gb/s, 192-bit sběrnice, konektory: 1x HDMI 2.1, 3x DisplayPort 1.4a; napájení 1x 8-pin, max. rozlišení 7680x4320, OpenGL 4.6, DirectX 12, 2-slotový design.",6 999 Kč,"skladem
2 kusy"
377625,"PALiT GeForce RTX 4060 Dual, 8GB GDDR6","Grafická karta v podání PALiT, rozhraní PCIe 4.0 x8, architektura NVIDIA Ada Lovelace, DLSS 3, frekvence až 2460 MHz (boost), 8 GB GDDR6 paměti, rychlost paměti 17 Gb/s, 128-bit sběrnice, 3 072 CUDA jader, konektory: 1x HDMI 2.1, 3x DisplayPort 1.4a; napájení 1x 8-pin, OpenGL 4.6, DirectX 12 Ultimate, 2-slotový design.",7 599 Kč,"skladem
5 a více kusů"
382946,"Sapphire PULSE AMD Radeon™ RX 7700 XT GAMING 12GB, 12GB GDDR6","Grafická karta společnosti Sapphire, PCIe 4.0 x16, frekvence až 2171 MHz a až 2544 MHz boost, 12 GB GDDR6 paměti, rychlost paměti 18 Gb/s, 192-bit sběrnice, 2x HDMI 2.1, 2x DisplayPort 2.1, DirectX 12 Ultimate, AMD FreeSync, AMD Radeon Anti-Lag, raytracing.",12 090 Kč,"skladem
5 a více kusů"
371733b5,"PALiT GeForce RTX 4070 Dual, 12GB GDDR6X","Grafická karta v podání PALiT, rozhraní PCIe 4.0 x16, architektura NVIDIA Ada Lovelace, DLSS 3, frekvence až 2475 MHz (boost), 12 GB GDDR6X paměti, rychlost paměti 21 Gb/s, 192-bit sběrnice, 5 888 CUDA jader, konektory: 1x HDMI 2.1, 3x DisplayPort 1.4a; napájení 1x 8-pin, OpenGL 4.6, DirectX 12 Ultimate, 2-slotový design.",12 639 Kč,"skladem
1 kus"
390164,"ASUS Dual GeForce GTX 1650 OC EVO, 4GB GDDR6","Grafická karta v podání ASUS, rozhraní PCIe 3.0, architektura Turing, frekvence až 1785 MHz (boost v režimu OC), 4 GB GDDR6 paměti, 128-bit sběrnice, 1x HDMI, 1x DisplayPort, 1x DVI-D, OpenGL 4.6, DirectX 12, NVIDIA: Ansel a G-Sync.",3 999 Kč,"skladem
1 kus"
391352,"MSI GeForce RTX 4070 SUPER 12G GAMING X SLIM WHITE, 12GB GDDR6X","Grafická karta v podání MSI, rozhraní PCIe 4.0 x16, architektura NVIDIA Ada Lovelace, DLSS 3, 12 GB GDDR6X paměti, rychlost paměti 21 Gb/s, 192-bit sběrnice, 7 168 CUDA jader, konektory: 1x HDMI 2.1a, 3x DisplayPort 1.4a; napájení 1x 16-pin, OpenGL 4.6, DirectX 12 Ultimate, 2-slotový design.",19 739 Kč,"skladem
5 a více kusů"
328283,"ASUS GeForce GT730-4H-SL-2GD5, 2GB GDDR5","Grafická karta s pasivním chladičem, PCIe 2.0 rozhraní, frekvence až 927 MHz (OC boost), 2 GB GDDR5 paměti, 64-bit sběrnice, 4x HDMI, rozlišení max. 3840 x 2160, OpenGL 4.6.",1 899 Kč,"skladem
5 a více kusů"
307913,"ASUS AMD Radeon™ PH-RX550-4G-EVO, 4GB GDDR5","Výkonná herní grafická karta společnosti ASUS, PCIe 3.0, frekvence 1183 MHz, 4 GB GDDR5 paměti s frekvencí 6000 MHz, 128-bit sběrnice, 1x DVI-D, 1x HDMI, 1x DisplayPort, OpenGL 4.5, DirectX 12, AMD Eyefinity, AMD FreeSync, GPU Tweak II s XSplit Gamecaster.",2 799 Kč,"skladem
3 kusy"
383770,"MSI GeForce RTX 4060 Ti VENTUS 2X BLACK 16G OC, 16GB GDDR6","Grafická karta v podání MSI, rozhraní PCIe 4.0 x16 (x8), architektura NVIDIA Ada Lovelace, frekvence až 2625 MHz (extrémní režim), 16 GB GDDR6 paměti, rychlost paměti 18 Gb/s, 128-bit sběrnice, 4 352 CUDA jader, konektory: 1x HDMI 2.1a, 3x DisplayPort 1.4a; napájení 1x 8-pin, OpenGL 4.6, DirectX 12 Ultimate, 2-slotový design.",13 326 Kč,"skladem
2 kusy"
212978,"Sapphire AMD Radeon™ PULSE RX550 4GB, 4GB GDDR5","Výkonná herní grafická karta společnosti Sapphire, PCIe 3.0, frekvence 1206 MHz (boost), 4 GB GDDR5 paměti s frekvencí 6000 MHz, 128-bit sběrnice, 1x DVI-D, 1x HDMI, 1x DisplayPort, OpenGL 4.5, DirectX 12, AMD Eyefinity.",3 331 Kč,"skladem
2 kusy"
374892,"ASUS Dual GeForce RTX 4060 Ti OC Edition, 8GB GDDR6","Grafická karta v podání ASUS, rozhraní PCIe 4.0 x16, architektura NVIDIA Ada Lovelace, DLSS 3, frekvence až 2595 MHz (režim OC), 8 GB GDDR6 paměti, rychlost paměti 18 Gb/s, 128-bit sběrnice, 4 352 CUDA jader, konektory: 1x HDMI 2.1, 3x DisplayPort 1.4a; napájení 1x 8-pin, OpenGL 4.6, DirectX 12 Ultimate, 2,5-slot design.",10 490 Kč,"skladem
5 a více kusů"
380621,"MSI GeForce RTX 3050 VENTUS 2X XS 8G OC, 8GB GDDR6","Grafická karta v podání MSI, rozhraní PCIe 4.0, architektura Ampere, frekvence až 1807 MHz (boost), 8 GB GDDR6 paměti, rychlost paměti 14 Gb/s, 128-bit sběrnice, konektory: 1x HDMI 2.1, 1x DisplayPort 1.4a, 1x DVI-D; napájení 1x 6-pin, max. rozlišení 7680x4320, OpenGL 4.6, DirectX 12.",6 099 Kč,"skladem
5 a více kusů"
